n:39 mse_avg:0.76 mse_y:0.80 mse_u:0.68 mse_v:0.67 psnr_avg:49.33 psnr_y:49.09 psnr_u:49.80 psnr_v:49.86 
n:40 mse_avg:1.06 mse_y:1.11 mse_u:1.02 mse_v:0.94 psnr_avg:47.86 psnr_y:47.68 psnr_u:48.06 psnr_v:48.40 
n:41 mse_avg:0.92 mse_y:0.96 mse_u:0.89 mse_v:0.83 psnr_avg:48.47 psnr_y:48.32 psnr_u:48.64 psnr_v:48.96 
n:42 mse_avg:0.97 mse_y:1.04 mse_u:0.82 mse_v:0.87 psnr_avg:48.24 psnr_y:47.97 psnr_u:48.98 psnr_v:48.72 
n:43 mse_avg:0.79 mse_y:0.85 mse_u:0.65 mse_v:0.69 psnr_avg:49.17 psnr_y:48.86 psnr_u:50.00 psnr_v:49.74 
n:44 mse_avg:0.93 mse_y:0.95 mse_u:0.86 mse_v:0.90 psnr_avg:48.46 psnr_y:48.36 psnr_u:48.79 psnr_v:48.57 
n:45 mse_avg:0.77 mse_y:0.83 mse_u:0.63 mse_v:0.70 psnr_avg:49.25 psnr_y:48.96 psnr_u:50.13 psnr_v:49.66 
n:46 mse_avg:1.17 mse_y:1.24 mse_u:0.97 mse_v:1.09 psnr_avg:47.44 psnr_y:47.19 psnr_u:48.27 psnr_v:47.74 
n:47 mse_avg:0.79 mse_y:0.85 mse_u:0.62 mse_v:0.70 psnr_avg:49.15 psnr_y:48.81 psnr_u:50.20 psnr_v:49.68 
n:48 mse_avg:1.11 mse_y:1.20 mse_u:0.87 mse_v:1.02 psnr_avg:47.67 psnr_y:47.35 psnr_u:48.74 psnr_v:48.06 
n:49 mse_avg:0.59 mse_y:0.62 mse_u:0.52 mse_v:0.55 psnr_avg:50.42 psnr_y:50.22 psnr_u:50.96 psnr_v:50.75 
n:50 mse_avg:0.87 mse_y:0.96 mse_u:0.63 mse_v:0.73 psnr_avg:48.74 psnr_y:48.29 psnr_u:50.13 psnr_v:49.49 
n:51 mse_avg:0.81 mse_y:0.91 mse_u:0.60 mse_v:0.64 psnr_avg:49.04 psnr_y:48.55 psnr_u:50.36 psnr_v:50.08 
n:52 mse_avg:0.91 mse_y:1.00 mse_u:0.70 mse_v:0.76 psnr_avg:48.53 psnr_y:48.12 psnr_u:49.68 psnr_v:49.30 
n:53 mse_avg:0.80 mse_y:0.89 mse_u:0.62 mse_v:0.64 psnr_avg:49.08 psnr_y:48.63 psnr_u:50.20 psnr_v:50.06 
n:54 mse_avg:1.17 mse_y:1.30 mse_u:0.87 mse_v:0.96 psnr_avg:47.45 psnr_y:47.00 psnr_u:48.76 psnr_v:48.31 
n:55 mse_avg:0.96 mse_y:1.05 mse_u:0.73 mse_v:0.84 psnr_avg:48.29 psnr_y:47.90 psnr_u:49.50 psnr_v:48.88 
n:56 mse_avg:1.05 mse_y:1.12 mse_u:0.87 mse_v:0.95 psnr_avg:47.91 psnr_y:47.62 psnr_u:48.74 psnr_v:48.37 
n:57 mse_avg:1.02 mse_y:1.10 mse_u:0.84 mse_v:0.91 psnr_avg:48.03 psnr_y:47.72 psnr_u:48.90 psnr_v:48.56 
n:58 mse_avg:1.30 mse_y:1.43 mse_u:0.98 mse_v:1.06 psnr_avg:47.01 psnr_y:46.57 psnr_u:48.23 psnr_v:47.87 
n:59 mse_avg:1.08 mse_y:1.19 mse_u:0.83 mse_v:0.89 psnr_avg:47.79 psnr_y:47.37 psnr_u:48.93 psnr_v:48.65 
n:60 mse_avg:1.32 mse_y:1.46 mse_u:0.98 mse_v:1.06 psnr_avg:46.94 psnr_y:46.48 psnr_u:48.21 psnr_v:47.88 
n:61 mse_avg:0.92 mse_y:1.02 mse_u:0.68 mse_v:0.74 psnr_avg:48.51 psnr_y:48.05 psnr_u:49.79 psnr_v:49.43 
n:62 mse_avg:1.22 mse_y:1.32 mse_u:0.97 mse_v:1.04 psnr_avg:47.28 psnr_y:46.92 psnr_u:48.27 psnr_v:47.96 
n:63 mse_avg:0.94 mse_y:1.06 mse_u:0.68 mse_v:0.77 psnr_avg:48.38 psnr_y:47.89 psnr_u:49.82 psnr_v:49.29 
n:64 mse_avg:1.06 mse_y:1.17 mse_u:0.81 mse_v:0.85 psnr_avg:47.87 psnr_y:47.43 psnr_u:49.02 psnr_v:48.82 
n:65 mse_avg:0.74 mse_y:0.81 mse_u:0.61 mse_v:0.59 psnr_avg:49.43 psnr_y:49.02 psnr_u:50.30 psnr_v:50.44 
n:66 mse_avg:1.36 mse_y:1.51 mse_u:1.01 mse_v:1.13 psnr_avg:46.78 psnr_y:46.34 psnr_u:48.08 psnr_v:47.60 
n:67 mse_avg:1.21 mse_y:1.37 mse_u:0.82 mse_v:0.95 psnr_avg:47.30 psnr_y:46.75 psnr_u:49.01 psnr_v:48.35 
n:68 mse_avg:1.69 mse_y:1.93 mse_u:1.26 mse_v:1.13 psnr_avg:45.86 psnr_y:45.27 psnr_u:47.14 psnr_v:47.59 
n:69 mse_avg:1.20 mse_y:1.34 mse_u:0.92 mse_v:0.91 psnr_avg:47.34 psnr_y:46.84 psnr_u:48.49 psnr_v:48.56 
n:70 mse_avg:1.43 mse_y:1.57 mse_u:1.27 mse_v:1.03 psnr_avg:46.57 psnr_y:46.17 psnr_u:47.08 psnr_v:48.01 
n:71 mse_avg:1.25 mse_y:1.40 mse_u:0.96 mse_v:0.93 psnr_avg:47.18 psnr_y:46.68 psnr_u:48.29 psnr_v:48.45 
n:72 mse_avg:1.23 mse_y:1.36 mse_u:0.95 mse_v:1.00 psnr_avg:47.23 psnr_y:46.80 psnr_u:48.35 psnr_v:48.13 
n:73 mse_avg:1.03 mse_y:1.13 mse_u:0.77 mse_v:0.89 psnr_avg:48.01 psnr_y:47.60 psnr_u:49.27 psnr_v:48.64 
n:74 mse_avg:1.29 mse_y:1.40 mse_u:1.05 mse_v:1.05 psnr_avg:47.04 psnr_y:46.66 psnr_u:47.92 psnr_v:47.91 
n:75 mse_avg:1.27 mse_y:1.42 mse_u:0.92 mse_v:1.01 psnr_avg:47.10 psnr_y:46.60 psnr_u:48.51 psnr_v:48.11 
n:76 mse_avg:1.42 mse_y:1.57 mse_u:1.07 mse_v:1.17 psnr_avg:46.60 psnr_y:46.16 psnr_u:47.82 psnr_v:47.43 
n:77 mse_avg:1.11 mse_y:1.24 mse_u:0.83 mse_v:0.89 psnr_avg:47.67 psnr_y:47.20 psnr_u:48.96 psnr_v:48.64 
n:78 mse_avg:1.54 mse_y:1.74 mse_u:1.09 mse_v:1.20 psnr_avg:46.24 psnr_y:45.72 psnr_u:47.75 psnr_v:47.35 
n:79 mse_avg:1.20 mse_y:1.36 mse_u:0.88 mse_v:0.88 psnr_avg:47.33 psnr_y:46.78 psnr_u:48.66 psnr_v:48.70 
n:80 mse_avg:1.26 mse_y:1.41 mse_u:0.95 mse_v:0.95 psnr_avg:47.13 psnr_y:46.62 psnr_u:48.34 psnr_v:48.35 
n:81 mse_avg:0.75 mse_y:0.81 mse_u:0.61 mse_v:0.65 psnr_avg:49.37 psnr_y:49.03 psnr_u:50.28 psnr_v:50.01 
n:82 mse_avg:0.92 mse_y:0.98 mse_u:0.75 mse_v:0.85 psnr_avg:48.50 psnr_y:48.22 psnr_u:49.36 psnr_v:48.84 
n:83 mse_avg:1.11 mse_y:1.27 mse_u:0.80 mse_v:0.82 psnr_avg:47.66 psnr_y:47.10 psnr_u:49.10 psnr_v:49.00 
n:84 mse_avg:1.37 mse_y:1.56 mse_u:1.04 mse_v:0.94 psnr_avg:46.78 psnr_y:46.21 psnr_u:47.96 psnr_v:48.41 
n:85 mse_avg:1.04 mse_y:1.18 mse_u:0.75 mse_v:0.75 psnr_avg:47.98 psnr_y:47.41 psnr_u:49.40 psnr_v:49.41 
n:86 mse_avg:1.44 mse_y:1.63 mse_u:1.11 mse_v:1.00 psnr_avg:46.55 psnr_y:46.01 psnr_u:47.66 psnr_v:48.13 
n:87 mse_avg:1.22 mse_y:1.40 mse_u:0.85 mse_v:0.88 psnr_avg:47.26 psnr_y:46.67 psnr_u:48.83 psnr_v:48.68 
n:88 mse_avg:1.33 mse_y:1.50 mse_u:1.03 mse_v:0.97 psnr_avg:46.88 psnr_y:46.36 psnr_u:48.02 psnr_v:48.26 
n:89 mse_avg:1.09 mse_y:1.27 mse_u:0.68 mse_v:0.76 psnr_avg:47.76 psnr_y:47.08 psnr_u:49.81 psnr_v:49.32 
n:90 mse_avg:1.44 mse_y:1.66 mse_u:1.03 mse_v:0.97 psnr_avg:46.56 psnr_y:45.94 psnr_u:48.02 psnr_v:48.26 
n:91 mse_avg:1.17 mse_y:1.34 mse_u:0.83 mse_v:0.82 psnr_avg:47.46 psnr_y:46.86 psnr_u:48.93 psnr_v:49.01 
n:92 mse_avg:1.23 mse_y:1.37 mse_u:1.02 mse_v:0.89 psnr_avg:47.22 psnr_y:46.76 psnr_u:48.03 psnr_v:48.63 
n:93 mse_avg:1.03 mse_y:1.17 mse_u:0.74 mse_v:0.75 psnr_avg:48.01 psnr_y:47.45 psnr_u:49.46 psnr_v:49.36 
n:94 mse_avg:1.23 mse_y:1.38 mse_u:0.95 mse_v:0.94 psnr_avg:47.21 psnr_y:46.73 psnr_u:48.38 psnr_v:48.42 
n:95 mse_avg:1.12 mse_y:1.26 mse_u:0.85 mse_v:0.83 psnr_avg:47.64 psnr_y:47.12 psnr_u:48.84 psnr_v:48.95 
n:96 mse_avg:1.20 mse_y:1.39 mse_u:0.79 mse_v:0.87 psnr_avg:47.33 psnr_y:46.71 psnr_u:49.15 psnr_v:48.73 
n:97 mse_avg:0.76 mse_y:0.85 mse_u:0.60 mse_v:0.58 psnr_avg:49.31 psnr_y:48.84 psnr_u:50.35 psnr_v:50.52 
n:98 mse_avg:1.23 mse_y:1.41 mse_u:0.78 mse_v:0.94 psnr_avg:47.25 psnr_y:46.65 psnr_u:49.18 psnr_v:48.38 
n:99 mse_avg:1.14 mse_y:1.34 mse_u:0.70 mse_v:0.77 psnr_avg:47.56 psnr_y:46.85 psnr_u:49.68 psnr_v:49.24 
n:100 mse_avg:1.18 mse_y:1.34 mse_u:0.85 mse_v:0.87 psnr_avg:47.41 psnr_y:46.85 psnr_u:48.86 psnr_v:48.74 
n:101 mse_avg:0.95 mse_y:1.11 mse_u:0.63 mse_v:0.65 psnr_avg:48.33 psnr_y:47.67 psnr_u:50.15 psnr_v:50.03 
n:102 mse_avg:1.14 mse_y:1.28 mse_u:0.85 mse_v:0.88 psnr_avg:47.54 psnr_y:47.04 psnr_u:48.83 psnr_v:48.69 
n:103 mse_avg:1.09 mse_y:1.26 mse_u:0.75 mse_v:0.77 psnr_avg:47.74 psnr_y:47.13 psnr_u:49.38 psnr_v:49.26 
n:104 mse_avg:1.10 mse_y:1.25 mse_u:0.75 mse_v:0.89 psnr_avg:47.70 psnr_y:47.17 psnr_u:49.37 psnr_v:48.65 
n:105 mse_avg:1.10 mse_y:1.21 mse_u:0.83 mse_v:0.93 psnr_avg:47.71 psnr_y:47.30 psnr_u:48.94 psnr_v:48.43 
n:106 mse_avg:1.14 mse_y:1.26 mse_u:0.87 mse_v:0.90 psnr_avg:47.57 psnr_y:47.12 psnr_u:48.71 psnr_v:48.58 
n:107 mse_avg:1.15 mse_y:1.33 mse_u:0.80 mse_v:0.81 psnr_avg:47.51 psnr_y:46.90 psnr_u:49.09 psnr_v:49.03 
n:108 mse_avg:1.38 mse_y:1.56 mse_u:1.04 mse_v:1.01 psnr_avg:46.74 psnr_y:46.21 psnr_u:47.98 psnr_v:48.08 
n:109 mse_avg:0.99 mse_y:1.15 mse_u:0.65 mse_v:0.70 psnr_avg:48.16 psnr_y:47.52 psnr_u:49.98 psnr_v:49.68 
n:110 mse_avg:1.41 mse_y:1.63 mse_u:0.91 mse_v:1.01 psnr_avg:46.65 psnr_y:46.01 psnr_u:48.56 psnr_v:48.10 
n:111 mse_avg:1.26 mse_y:1.47 mse_u:0.85 mse_v:0.85 psnr_avg:47.13 psnr_y:46.47 psnr_u:48.84 psnr_v:48.84 
n:112 mse_avg:1.37 mse_y:1.55 mse_u:1.00 mse_v:0.99 psnr_avg:46.78 psnr_y:46.21 psnr_u:48.15 psnr_v:48.20 
n:113 mse_avg:0.92 mse_y:1.03 mse_u:0.66 mse_v:0.74 psnr_avg:48.51 psnr_y:48.02 psnr_u:49.94 psnr_v:49.45 
n:114 mse_avg:1.04 mse_y:1.17 mse_u:0.75 mse_v:0.79 psnr_avg:47.96 psnr_y:47.43 psnr_u:49.37 psnr_v:49.13 
n:115 mse_avg:1.04 mse_y:1.20 mse_u:0.72 mse_v:0.71 psnr_avg:47.98 psnr_y:47.35 psnr_u:49.55 psnr_v:49.65 
n:116 mse_avg:1.15 mse_y:1.29 mse_u:0.89 mse_v:0.82 psnr_avg:47.54 psnr_y:47.02 psnr_u:48.64 psnr_v:48.97 
n:117 mse_avg:0.90 mse_y:1.04 mse_u:0.64 mse_v:0.61 psnr_avg:48.59 psnr_y:47.97 psnr_u:50.06 psnr_v:50.26 
n:118 mse_avg:1.07 mse_y:1.19 mse_u:0.86 mse_v:0.82 psnr_avg:47.82 psnr_y:47.38 psnr_u:48.77 psnr_v:49.01 
n:119 mse_avg:0.97 mse_y:1.11 mse_u:0.67 mse_v:0.68 psnr_avg:48.28 psnr_y:47.67 psnr_u:49.88 psnr_v:49.84 
n:120 mse_avg:1.10 mse_y:1.27 mse_u:0.81 mse_v:0.74 psnr_avg:47.70 psnr_y:47.10 psnr_u:49.03 psnr_v:49.41 
n:121 mse_avg:1.01 mse_y:1.12 mse_u:0.72 mse_v:0.81 psnr_avg:48.11 psnr_y:47.62 psnr_u:49.54 psnr_v:49.04 
n:122 mse_avg:1.08 mse_y:1.25 mse_u:0.78 mse_v:0.73 psnr_avg:47.78 psnr_y:47.17 psnr_u:49.21 psnr_v:49.48 
n:123 mse_avg:1.07 mse_y:1.25 mse_u:0.70 mse_v:0.72 psnr_avg:47.85 psnr_y:47.17 psnr_u:49.67 psnr_v:49.56 
n:124 mse_avg:1.27 mse_y:1.49 mse_u:0.87 mse_v:0.80 psnr_avg:47.09 psnr_y:46.39 psnr_u:48.73 psnr_v:49.13 
n:125 mse_avg:0.99 mse_y:1.15 mse_u:0.68 mse_v:0.66 psnr_avg:48.17 psnr_y:47.52 psnr_u:49.82 psnr_v:49.90 
n:126 mse_avg:1.08 mse_y:1.25 mse_u:0.80 mse_v:0.70 psnr_avg:47.80 psnr_y:47.18 psnr_u:49.11 psnr_v:49.69 
n:127 mse_avg:0.91 mse_y:1.06 mse_u:0.62 mse_v:0.62 psnr_avg:48.52 psnr_y:47.87 psnr_u:50.18 psnr_v:50.20 
n:128 mse_avg:1.00 mse_y:1.13 mse_u:0.76 mse_v:0.69 psnr_avg:48.14 psnr_y:47.59 psnr_u:49.31 psnr_v:49.74 
